#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
27/03/2020;900,25;0,14%;-2,5;-0,28%;-10,5;-1,15%;0,46
26/03/2020;899;-0,14%;17,75;2,01%;-8;-0,88%;-0,46
25/03/2020;900,25;-0,58%;38,25;4,44%;-1;-0,11%;-1,93
24/03/2020;905,5;0,30%;61,25;7,25%;-12,25;-1,33%;1,01
23/03/2020;902,75;2,44%;59,75;7,09%;-17;-1,85%;7,90
20/03/2020;881,25;2,23%;40,75;4,85%;-43;-4,65%;7,07
19/03/2020;862;2,10%;-5,5;-0,63%;-59;-6,41%;6,52
18/03/2020;844,25;0,15%;-34;-3,87%;-77,75;-8,43%;0,46
17/03/2020;843;0,30%;-49;-5,49%;-81,75;-8,84%;0,92
16/03/2020;840,5;-3,11%;-54,5;-6,09%;-80,5;-8,74%;-9,92
13/03/2020;867,5;-1,22%;-21,25;-2,39%;-45,75;-5,01%;-3,95
12/03/2020;878,25;-1,54%;-31,75;-3,49%;-34,5;-3,78%;-5,05
11/03/2020;892;-0,34%;-23,75;-2,59%;-18,5;-2,03%;-1,10
10/03/2020;895;0,70%;-31;-3,35%;-14,5;-1,59%;2,30
09/03/2020;888,75;-2,34%;-33,5;-3,63%;-19,75;-2,17%;-7,81
06/03/2020;910;-0,63%;-9,75;-1,06%;2;0,22%;-2,11
05/03/2020;915,75;-1,11%;4,25;0,47%;10,25;1,13%;-3,77
04/03/2020;926;0,41%;12,25;1,34%;25;2,77%;1,38
03/03/2020;922,25;0,27%;11,5;1,26%;17,5;1,93%;0,92
02/03/2020;919,75;0,91%;12,75;1,41%;-1,75;-0,19%;3,03
28/02/2020;911,5;-0,25%;10,25;1,14%;-12;-1,30%;-0,83
27/02/2020;913,75;0,33%;-4;-0,44%;-12;-1,30%;1,10
26/02/2020;910,75;0,41%;-9;-0,98%;-19,75;-2,12%;1,38
25/02/2020;907;0,64%;-17,25;-1,87%;-31;-3,30%;2,11
24/02/2020;901,25;-1,80%;-19,75;-2,14%;-41;-4,35%;-6,06
21/02/2020;917,75;-0,22%;-4,25;-0,46%;-26,75;-2,83%;-0,73
20/02/2020;919,75;-0,49%;-5;-0,54%;-38,5;-4,02%;-1,65
19/02/2020;924,25;0,35%;3,25;0,35%;-28,25;-2,97%;1,19
18/02/2020;921;-0,11%;7,75;0,85%;-36,25;-3,79%;-0,37
14/02/2020;922;-0,30%;9,25;1,01%;-48,75;-5,02%;-1,01
13/02/2020;924,75;0,41%;14,25;1,57%;-46;-4,74%;1,38
12/02/2020;921;0,85%;11,5;1,26%;-53,5;-5,49%;2,85
11/02/2020;913,25;0,05%;4,75;0,52%;-58,75;-6,04%;0,18
10/02/2020;912,75;0,25%;4,75;0,52%;-63;-6,46%;0,83
07/02/2020;910,5;0,11%;5;0,55%;-62;-6,38%;0,37
06/02/2020;909,5;0,11%;8,5;0,94%;-63,75;-6,55%;0,37
05/02/2020;908,5;0,06%;3,75;0,41%;-61,5;-6,34%;0,18
04/02/2020;908;0,28%;-13,5;-1,47%;-76,75;-7,79%;0,92
03/02/2020;905,5;0,50%;-18;-1,95%;-78,5;-7,98%;1,65
31/01/2020;901;-0,41%;-24,75;-2,67%;-80;-8,15%;-1,38
30/01/2020;904,75;-1,82%;-25,75;-2,77%;-65,25;-6,73%;-6,15
29/01/2020;921,5;-0,22%;-16,5;-1,76%;-53,5;-5,49%;-0,73
28/01/2020;923,5;-0,24%;-18,75;-1,99%;-49,75;-5,11%;-0,83
27/01/2020;925,75;-0,51%;-18,75;-1,99%;-45;-4,64%;-1,75
24/01/2020;930,5;-0,80%;-27,75;-2,90%;-36,25;-3,75%;-2,76
23/01/2020;938;-0,45%;-14,5;-1,52%;-26,75;-2,77%;-1,56
22/01/2020;942,25;-0,24%;-15;-1,57%;-26,75;-2,76%;-0,83
21/01/2020;944,5;-1,43%;-26,25;-2,70%;-24,75;-2,55%;-5,05
17/01/2020;958,25;0,60%;-12,5;-1,29%;-6,25;-0,65%;2,11
16/01/2020;952,5;-0,50%;-22;-2,26%;2,5;0,26%;-1,75
15/01/2020;957,25;-1,39%;-14,75;-1,52%;16,25;1,73%;-4,96
14/01/2020;970,75;0,00%;-5;-0,51%;34,25;3,66%;0,00
13/01/2020;970,75;-0,38%;-1,75;-0,18%;26,5;2,81%;-1,38
10/01/2020;974,5;0,26%;1,25;0,13%;34,25;3,64%;0,92
09/01/2020;972;-0,38%;2;0,21%;39,5;4,24%;-1,38
08/01/2020;975,75;0,33%;-9;-0,91%;48,5;5,23%;1,19
07/01/2020;972,5;-0,08%;-11,5;-1,17%;51,5;5,59%;-0,28
06/01/2020;973,25;0,34%;-7,75;-0,79%;59,25;6,48%;1,19
03/01/2020;970;-1,50%;0;0,00%;56,5;6,19%;-5,42
02/01/2020;984,75;0,08%;9,75;1,00%;65;7,07%;0,28
31/12/2019;984;0,31%;10,75;1,10%;59;6,38%;1,10
30/12/2019;981;1,13%;10,25;1,06%;53,75;5,80%;4,04
27/12/2019;970;-0,51%;3,25;0,34%;34,5;3,69%;-1,84
26/12/2019;975;0,18%;10,25;1,06%;35;3,72%;0,64
